ref_date,napcs_group,napcs_group_name,product,uom,value,vector,coordinate,status,terminated
2025-10,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",154.9,v1230996124,1.118,,
2025-11,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",153.4,v1230996124,1.118,,
2025-12,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",147.0,v1230996124,1.118,,
2026-01,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",151.2,v1230996124,1.118,,
2026-02,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",154.5,v1230996124,1.118,,
2026-03,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",154.9,v1230996124,1.118,,
2026-04,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",154.6,v1230996124,1.118,,
2026-05,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",155.7,v1230996124,1.118,,
2026-06,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",161.7,v1230996124,1.118,,
2026-07,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",167.4,v1230996124,1.118,,
2026-08,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",166.1,v1230996124,1.118,,
2015-01,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",86.1,v1230996123,1.117,,
2015-02,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",86.6,v1230996123,1.117,,
2015-03,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",85.4,v1230996123,1.117,,
2015-04,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",84.7,v1230996123,1.117,,
2015-05,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",84.1,v1230996123,1.117,,
2015-06,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",85.3,v1230996123,1.117,,
2015-07,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",86.1,v1230996123,1.117,,
2015-08,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",86.0,v1230996123,1.117,,
2015-09,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",86.0,v1230996123,1.117,,
2015-10,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",86.1,v1230996123,1.117,,
2015-11,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",86.7,v1230996123,1.117,,
2015-12,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",86.8,v1230996123,1.117,,
2016-01,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",88.8,v1230996123,1.117,,
2016-02,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",88.4,v1230996123,1.117,,
2016-03,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",88.1,v1230996123,1.117,,
2016-04,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",88.1,v1230996123,1.117,,
2016-05,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",88.0,v1230996123,1.117,,
2016-06,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",89.4,v1230996123,1.117,,
2016-07,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",89.7,v1230996123,1.117,,
2016-08,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",90.4,v1230996123,1.117,,
2016-09,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",92.0,v1230996123,1.117,,
2016-10,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",91.5,v1230996123,1.117,,
2016-11,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",91.3,v1230996123,1.117,,
2016-12,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",91.9,v1230996123,1.117,,
2017-01,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",92.3,v1230996123,1.117,,
2017-02,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",93.1,v1230996123,1.117,,
2017-03,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",94.7,v1230996123,1.117,,
2017-04,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",96.6,v1230996123,1.117,,
2017-05,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",96.8,v1230996123,1.117,,
2017-06,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",96.2,v1230996123,1.117,,
2017-07,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",99.1,v1230996123,1.117,,
2017-08,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",100.2,v1230996123,1.117,,
2017-09,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",99.9,v1230996123,1.117,,
2017-10,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",99.2,v1230996123,1.117,,
2017-11,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",97.8,v1230996123,1.117,,
2017-12,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",96.8,v1230996123,1.117,,
2018-01,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",98.0,v1230996123,1.117,,
2018-02,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",99.8,v1230996123,1.117,,
2018-03,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",101.5,v1230996123,1.117,,
2018-04,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",103.1,v1230996123,1.117,,
2018-05,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",109.4,v1230996123,1.117,,
2018-06,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",110.4,v1230996123,1.117,,
2018-07,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",110.9,v1230996123,1.117,,
2018-08,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",105.1,v1230996123,1.117,,
2018-09,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",105.2,v1230996123,1.117,,
2018-10,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",102.5,v1230996123,1.117,,
2018-11,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",102.3,v1230996123,1.117,,
2018-12,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",102.9,v1230996123,1.117,,
2019-01,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",103.2,v1230996123,1.117,,
2019-02,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",102.7,v1230996123,1.117,,
2019-03,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",102.7,v1230996123,1.117,,
2019-04,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",101.7,v1230996123,1.117,,
2019-05,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",99.0,v1230996123,1.117,,
2019-06,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",99.5,v1230996123,1.117,,
2019-07,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",102.0,v1230996123,1.117,,
2019-08,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",101.5,v1230996123,1.117,,
2019-09,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",100.0,v1230996123,1.117,,
2019-10,P41,Lumber and other wood products,Lumber and other sawmill products [241],"Index, 202001=100",100.2,v1230996123,1.117,,
